Customer ID,Recency,Frequency,MonetaryValue,R,F,M,RFM_segment,RFM_score,Segment
12879,46,10,573.22,3,1,2,312,6,Middle
12881,99,7,298.0,2,1,2,212,5,Middle
12882,11,13,1463.0399999999995,4,1,3,413,8,Middle
12883,26,42,703.4700000000001,3,3,3,333,9,Low
12884,2,7,309.05000000000007,4,1,2,412,7,Middle
12885,125,71,1175.2199999999996,2,3,3,233,8,Middle
12886,250,82,1378.4,1,3,3,133,7,Middle
12888,97,5,354.12,2,1,2,212,5,Middle
12890,25,76,372.9699999999999,3,3,2,332,8,Middle
12891,158,3,331.0,2,1,2,212,5,Middle
12893,91,28,164.96,2,2,1,221,5,Middle
12895,44,22,372.79999999999995,3,2,2,322,7,Middle
12897,39,4,216.5,3,1,1,311,5,Middle
12901,12,116,17654.539999999997,4,4,4,444,12,Top
12902,266,10,138.68,1,1,1,111,3,Low
12904,20,70,482.5399999999998,4,3,2,432,9,Low
12906,13,63,2919.809999999999,4,3,4,434,11,Top
12908,178,2,750.0,1,1,3,113,5,Middle
12909,41,91,2178.67,3,3,4,334,10,Top
12910,7,75,3075.0400000000013,4,3,4,434,11,Top
12912,16,24,1662.3,4,2,4,424,10,Top
12913,17,50,2483.6299999999997,4,3,4,434,11,Top
12915,150,22,363.65,2,2,2,222,6,Middle
12916,140,99,2883.7499999999995,2,4,4,244,10,Top
12917,278,2,594.0,1,1,2,112,4,Low
12919,3,50,1335.1899999999998,4,3,3,433,10,Top
12920,19,26,161.33,4,2,1,421,7,Middle
12921,11,720,16587.09000000002,4,4,4,444,12,Top
12922,338,28,405.38,1,2,2,122,5,Middle
12923,184,27,168.67,1,2,1,121,4,Low
12924,2,30,933.7000000000003,4,2,3,423,9,Low
12925,76,45,694.0499999999998,2,3,3,233,8,Middle
12928,7,84,2062.6999999999994,4,3,4,434,11,Top
12929,343,8,117.85000000000001,1,1,1,111,3,Low
12930,80,25,415.8,2,2,2,222,6,Middle
12931,23,82,42055.95999999999,4,3,4,434,11,Top
12933,26,106,607.5299999999999,3,4,2,342,9,Low
12935,28,129,2160.6999999999994,3,4,4,344,11,Top
12936,18,62,1063.9000000000005,4,3,3,433,10,Top
12937,17,120,1504.2700000000004,4,4,3,443,11,Top
12938,27,9,114.14,3,1,1,311,5,Middle
12939,38,47,11581.8,3,3,4,334,10,Top
12940,56,93,885.84,3,3,3,333,9,Low
12942,133,65,667.3,2,3,3,233,8,Middle
12944,244,30,604.51,1,2,2,122,5,Middle
12945,290,23,462.95000000000005,1,2,2,122,5,Middle
12947,66,97,1603.9900000000002,2,3,4,234,9,Low
12948,18,116,2064.95,4,4,4,444,12,Top
12949,91,215,4167.220000000001,2,4,4,244,10,Top
12950,26,23,1843.0,3,2,4,324,9,Low
12951,175,63,1064.0700000000004,1,3,3,133,7,Middle
12952,45,79,1387.7900000000004,3,3,3,333,9,Low
12953,11,17,329.84999999999997,4,2,2,422,8,Middle
12955,18,180,4757.159999999999,4,4,4,444,12,Top
12956,192,19,108.07,1,2,1,121,4,Low
12957,11,238,4017.5400000000027,4,4,4,444,12,Top
12962,115,16,266.39000000000004,2,1,1,211,4,Low
12963,12,95,1856.6299999999997,4,3,4,434,11,Top
12965,32,107,767.7099999999996,3,4,3,343,10,Top
12966,11,10,160.18,4,1,1,411,6,Middle
12967,359,19,1660.9,1,2,4,124,7,Middle
12968,114,5,135.95,2,1,1,211,4,Low
12970,302,110,359.9599999999998,1,4,2,142,7,Middle
12971,10,305,11189.909999999996,4,4,4,444,12,Top
12974,199,8,144.8,1,1,1,111,3,Low
12976,6,22,738.6,4,2,3,423,9,Low
12977,187,9,39.24,1,1,1,111,3,Low
12980,10,20,7374.900000000001,4,2,4,424,10,Top
12981,61,20,372.21999999999997,3,2,2,322,7,Middle
12982,37,28,390.53999999999996,3,2,2,322,7,Middle
12984,20,4,97.5,4,1,1,411,6,Middle
12985,30,76,1239.38,3,3,3,333,9,Low
12987,75,28,558.7,2,2,2,222,6,Middle
12988,294,76,478.82,1,3,2,132,6,Middle
12989,2,64,6924.109999999996,4,3,4,434,11,Top
12990,122,13,409.50000000000006,2,1,2,212,5,Middle
12991,25,31,503.76,3,2,2,322,7,Middle
12993,25,27,414.75999999999993,3,2,2,322,7,Middle
12994,33,61,974.42,3,3,3,333,9,Low
12995,87,3,211.32,2,1,1,211,4,Low
12997,2,59,1226.89,4,3,3,433,10,Top
12999,129,28,455.8799999999999,2,2,2,222,6,Middle
13000,108,31,534.8500000000001,2,2,2,222,6,Middle
13001,24,335,9753.120000000012,3,4,4,344,11,Top
13002,320,7,120.94999999999999,1,1,1,111,3,Low
13003,34,6,149.05,3,1,1,311,5,Middle
13004,13,404,5655.91,4,4,4,444,12,Top
13005,160,26,513.7,2,2,2,222,6,Middle
13006,58,4,81.57,3,1,1,311,5,Middle
13008,325,14,229.47000000000003,1,1,1,111,3,Low
13011,666,3,50.550000000000004,1,1,1,111,3,Low
13012,11,87,1631.8400000000008,4,3,4,434,11,Top
13013,23,219,4810.9400000000005,4,4,4,444,12,Top
13014,12,110,3466.2799999999997,4,4,4,444,12,Top
13015,55,174,3333.000000000002,3,4,4,344,11,Top
13016,75,47,789.8899999999996,2,3,3,233,8,Middle
13017,302,1,204.0,1,1,1,111,3,Low
13018,18,458,7277.699999999997,4,4,4,444,12,Top
13021,27,131,2616.38,3,4,4,344,11,Top
13023,184,40,689.9000000000001,1,2,3,123,6,Middle
13026,99,40,975.3599999999998,2,2,3,223,7,Middle
13027,115,26,6912.0,2,2,4,224,8,Middle
13028,24,45,661.32,3,3,3,333,9,Low
13029,91,10,1247.5,2,1,3,213,6,Middle
13030,13,85,705.4000000000001,4,3,3,433,10,Top
13032,54,71,1010.1799999999997,3,3,3,333,9,Low
13033,359,11,190.54999999999998,1,1,1,111,3,Low
13034,56,37,642.77,3,2,3,323,8,Middle
13035,75,27,921.8800000000002,2,2,3,223,7,Middle
13037,140,48,881.07,2,3,3,233,8,Middle
13038,82,28,908.46,2,2,3,223,7,Middle
13040,183,43,676.9900000000001,1,3,3,133,7,Middle
13043,38,13,516.4200000000001,3,1,2,312,6,Middle
13044,293,33,560.4700000000001,1,2,2,122,5,Middle
13045,336,18,305.28,1,2,2,122,5,Middle
13046,91,35,629.31,2,2,2,222,6,Middle
13047,58,172,3237.540000000001,3,4,4,344,11,Top
13048,16,134,1802.9099999999994,4,4,4,444,12,Top
13049,184,14,656.6800000000002,1,1,3,113,5,Middle
13050,16,403,5836.86,4,4,4,444,12,Top
13052,36,18,348.15000000000003,3,2,2,322,7,Middle
13055,67,76,1214.41,2,3,3,233,8,Middle
13058,1,8,271.4,4,1,1,411,6,Middle
13059,251,8,183.4,1,1,1,111,3,Low
13060,255,15,307.53000000000003,1,1,2,112,4,Low
13061,74,10,248.61,2,1,1,211,4,Low
13062,339,11,346.98,1,1,2,112,4,Low
13064,2,67,1091.6900000000003,4,3,3,433,10,Top
13065,698,14,205.85999999999999,1,1,1,111,3,Low
13066,26,48,470.80000000000007,3,3,2,332,8,Middle
13067,84,15,115.46000000000002,2,1,1,211,4,Low
13068,12,2,344.0,4,1,2,412,7,Middle
13069,3,423,4426.759999999995,4,4,4,444,12,Top
13070,194,9,228.8,1,1,1,111,3,Low
13072,268,7,177.14999999999998,1,1,1,111,3,Low
13075,306,22,919.61,1,2,3,123,6,Middle
13077,120,110,726.7700000000001,2,4,3,243,9,Low
13078,1,358,12627.94,4,4,4,444,12,Top
13079,23,6,220.09999999999997,4,1,1,411,6,Middle
13080,181,6,58.08,1,1,1,111,3,Low
13081,13,1028,28337.38000000005,4,4,4,444,12,Top
13082,178,73,3613.6300000000006,1,3,4,134,8,Middle
13083,77,18,303.75,2,2,2,222,6,Middle
13085,218,22,416.08000000000004,1,2,2,122,5,Middle
13089,7,1810,58698.33000000013,4,4,4,444,12,Top
13090,21,155,8910.82,4,4,4,444,12,Top
13091,30,21,345.82,3,2,2,322,7,Middle
13092,6,25,477.83,4,2,2,422,8,Middle
13093,99,159,7832.469999999998,2,4,4,244,10,Top
13094,23,24,1927.3200000000002,4,2,4,424,10,Top
13095,72,6,74.4,2,1,1,211,4,Low
13097,79,419,5996.019999999994,2,4,4,244,10,Top
13098,11,572,28882.440000000013,4,4,4,444,12,Top
13099,335,1,207.35999999999999,1,1,1,111,3,Low
13101,236,8,101.18999999999998,1,1,1,111,3,Low
13102,25,304,6424.090000000001,3,4,4,344,11,Top
13103,41,8,243.94,3,1,1,311,5,Middle
13104,48,20,1098.48,3,2,3,323,8,Middle
13106,135,1,76.5,2,1,1,211,4,Low
13107,46,58,1531.6200000000003,3,3,3,333,9,Low
13108,667,10,350.05999999999995,1,1,2,112,4,Low
13109,31,47,786.5400000000001,3,3,3,333,9,Low
13110,55,145,1488.6700000000012,3,4,3,343,10,Top
13113,6,201,12245.960000000003,4,4,4,444,12,Top
13115,1,120,2294.7800000000007,4,4,4,444,12,Top
13116,140,30,501.14000000000004,2,2,2,222,6,Middle
13117,23,76,984.9099999999996,4,3,3,433,10,Top
13118,21,79,1197.8099999999995,4,3,3,433,10,Top
13120,240,1,30.599999999999998,1,1,1,111,3,Low
13121,271,50,283.7299999999999,1,3,1,131,5,Middle
13122,185,55,922.3900000000002,1,3,3,133,7,Middle
13124,32,212,3676.279999999998,3,4,4,344,11,Top
13126,46,140,2099.6399999999994,3,4,4,344,11,Top
13127,79,15,259.16999999999996,2,1,1,211,4,Low
13130,185,2,64.0,1,1,1,111,3,Low
13131,25,44,1073.2999999999997,3,3,3,333,9,Low
13132,263,3,77.3,1,1,1,111,3,Low
13133,38,7,109.80000000000001,3,1,1,311,5,Middle
13134,87,98,1793.58,2,4,4,244,10,Top
13135,198,1,3096.0,1,1,4,114,6,Middle
13136,36,127,2607.6099999999997,3,4,4,344,11,Top
13137,12,670,3556.169999999999,4,4,4,444,12,Top
13138,24,63,962.3900000000001,3,3,3,333,9,Low
13139,18,170,5064.940000000003,4,4,4,444,12,Top
13140,110,44,421.21999999999997,2,3,2,232,7,Middle
13141,86,135,2388.7499999999995,2,4,4,244,10,Top
13142,21,23,307.0899999999999,4,2,2,422,8,Middle
13144,40,3,110.94999999999999,3,1,1,311,5,Middle
13145,41,6,618.52,3,1,2,312,6,Middle
13146,28,17,228.91,3,2,1,321,6,Middle
13147,12,4,712.8000000000001,4,1,3,413,8,Middle
13148,61,305,3659.400000000001,3,4,4,344,11,Top
13149,16,86,1676.0599999999997,4,3,4,434,11,Top
13151,297,74,1257.8700000000003,1,3,3,133,7,Middle
13153,243,15,486.22,1,1,2,112,4,Low
13155,81,85,971.76,2,3,3,233,8,Middle
13157,7,87,1741.2199999999991,4,3,4,434,11,Top
13158,3,79,1201.0600000000004,4,3,3,433,10,Top
13159,52,119,1420.8500000000006,3,4,3,343,10,Top
13160,24,4,91.8,3,1,1,311,5,Middle
13161,315,8,112.75,1,1,1,111,3,Low
13162,94,79,1688.2899999999995,2,3,4,234,9,Low
13165,48,42,1021.4799999999999,3,3,3,333,9,Low
13166,342,41,417.19999999999993,1,3,2,132,6,Middle
13167,20,65,791.3300000000002,4,3,3,433,10,Top
13168,201,121,1279.99,1,4,3,143,8,Middle
13169,154,13,712.88,2,1,3,213,6,Middle
13170,28,28,101.61000000000001,3,2,1,321,6,Middle
13171,23,46,468.4099999999999,4,3,2,432,9,Low
13173,213,43,353.65000000000003,1,3,2,132,6,Middle
13174,18,276,2676.51,4,4,4,444,12,Top
13176,48,63,472.69000000000005,3,3,2,332,8,Middle
13177,184,17,282.45,1,2,1,121,4,Low
13178,28,265,5725.470000000003,3,4,4,344,11,Top
13182,47,11,121.17999999999999,3,1,1,311,5,Middle
13183,88,94,3957.7800000000016,2,3,4,234,9,Low
13184,16,177,1636.610000000001,4,4,4,444,12,Top
13185,269,1,71.4,1,1,1,111,3,Low
13186,41,79,1575.8900000000003,3,3,4,334,10,Top
13187,192,37,236.01999999999995,1,2,1,121,4,Low
13188,13,2,114.60000000000001,4,1,1,411,6,Middle
13189,20,29,260.68,4,2,1,421,7,Middle
13192,207,63,911.9400000000002,1,3,3,133,7,Middle
13193,92,21,106.28000000000002,2,2,1,221,5,Middle
13194,137,3,60.7,2,1,1,211,4,Low
13196,13,110,1797.78,4,4,4,444,12,Top
13198,12,226,3401.239999999997,4,4,4,444,12,Top
13199,12,119,9817.120000000003,4,4,4,444,12,Top
13200,21,46,870.09,4,3,3,433,10,Top
13203,11,57,869.4599999999999,4,3,3,433,10,Top
13207,4,8,250.26000000000002,4,1,1,411,6,Middle
13208,1,147,1211.3999999999999,4,4,3,443,11,Top
13209,91,321,5891.609999999999,2,4,4,244,10,Top
13210,155,22,353.47999999999996,2,2,2,222,6,Middle
13211,12,54,993.4200000000002,4,3,3,433,10,Top
13212,21,140,785.5799999999998,4,4,3,443,11,Top
13213,58,90,1520.5800000000004,3,3,3,333,9,Low
13216,269,5,333.74,1,1,2,112,4,Low
13217,94,4,533.98,2,1,2,212,5,Middle
13218,247,5,62.64,1,1,1,111,3,Low
13220,80,21,819.29,2,2,3,223,7,Middle
13221,242,66,847.4100000000001,1,3,3,133,7,Middle
13223,202,5,163.20000000000002,1,1,1,111,3,Low
13224,34,108,2155.9499999999994,3,4,4,344,11,Top
13225,62,32,6463.840000000002,3,2,4,324,9,Low
13226,38,16,108.21000000000001,3,1,1,311,5,Middle
13227,203,9,257.7,1,1,1,111,3,Low
13228,83,2,358.0,2,1,2,212,5,Middle
13229,227,10,160.95,1,1,1,111,3,Low
13230,60,563,2704.290000000001,3,4,4,344,11,Top
13232,5,197,1299.100000000001,4,4,3,443,11,Top
13233,76,43,605.1200000000001,2,3,2,232,7,Middle
13235,36,58,1031.0699999999997,3,3,3,333,9,Low
13236,26,36,744.8500000000003,3,2,3,323,8,Middle
13238,19,31,700.7300000000001,4,2,3,423,9,Low
13239,263,22,329.56,1,2,2,122,5,Middle
13240,175,67,663.6500000000001,1,3,3,133,7,Middle
13242,67,13,270.40000000000003,2,1,1,211,4,Low
13243,205,56,570.1700000000001,1,3,2,132,6,Middle
13244,124,27,121.74000000000001,2,2,1,221,5,Middle
13245,52,16,430.5,3,1,2,312,6,Middle
13246,20,131,1935.7400000000007,4,4,4,444,12,Top
13247,19,25,501.12,4,2,2,422,8,Middle
13248,156,26,465.6799999999999,2,2,2,222,6,Middle
13249,124,23,711.41,2,2,3,223,7,Middle
13253,187,36,1030.3999999999999,1,2,3,123,6,Middle
13255,11,13,399.51,4,1,2,412,7,Middle
13256,16,1,0.0,4,1,1,411,6,Middle
13258,13,34,647.0799999999999,4,2,3,423,9,Low
13259,92,75,274.0399999999999,2,3,1,231,6,Middle
13260,92,8,557.6200000000001,2,1,2,212,5,Middle
13261,270,9,944.1,1,1,3,113,5,Middle
13262,265,11,200.29000000000002,1,1,1,111,3,Low
13263,6,1657,7419.7899999999545,4,4,4,444,12,Top
13265,2,89,2077.6600000000008,4,3,4,434,11,Top
13266,13,187,3834.26,4,4,4,444,12,Top
13267,10,211,4521.490000000001,4,4,4,444,12,Top
13268,7,426,3134.8099999999995,4,4,4,444,12,Top
13269,2,314,5340.329999999999,4,4,4,444,12,Top
13270,486,1,590.0,1,1,2,112,4,Low
13271,303,78,205.59999999999994,1,3,1,131,5,Middle
13272,32,15,276.56000000000006,3,1,1,311,5,Middle
13273,115,16,138.97999999999996,2,1,1,211,4,Low
13276,154,30,590.93,2,2,2,222,6,Middle
13277,17,8,258.4,4,1,1,411,6,Middle
13278,42,46,542.73,3,3,2,332,8,Middle
13279,79,9,137.75,2,1,1,211,4,Low
13280,94,79,782.0600000000001,2,3,3,233,8,Middle
13282,20,37,1132.1399999999999,4,2,3,423,9,Low
13283,31,7,93.66,3,1,1,311,5,Middle
13284,332,13,201.19,1,1,1,111,3,Low
13285,25,187,2709.1200000000003,3,4,4,344,11,Top
13291,157,42,361.10999999999996,2,3,2,232,7,Middle
13292,286,31,578.9399999999999,1,2,2,122,5,Middle
13294,251,54,873.7399999999998,1,3,3,133,7,Middle
13295,361,10,201.2,1,1,1,111,3,Low
13296,139,5,87.4,2,1,1,211,4,Low
13297,25,59,2089.8500000000004,3,3,4,334,10,Top
13298,121,2,360.0,2,1,2,212,5,Middle
13299,270,5,142.5,1,1,1,111,3,Low
13300,171,20,371.89000000000004,1,2,2,122,5,Middle
13301,105,81,618.0899999999998,2,3,2,232,7,Middle
13302,156,1,63.75,2,1,1,211,4,Low
13304,353,21,300.4199999999999,1,2,2,122,5,Middle
13305,23,81,2000.8599999999992,4,3,4,434,11,Top
13307,33,1,15.0,3,1,1,311,5,Middle
13308,24,54,1385.51,3,3,3,333,9,Low
13309,2,107,1456.7899999999993,4,4,3,443,11,Top
13310,29,72,1132.0300000000002,3,3,3,333,9,Low
13311,4,26,598.57,4,2,2,422,8,Middle
13313,24,78,1555.3199999999993,3,3,3,333,9,Low
13314,75,62,775.9400000000002,2,3,3,233,8,Middle
13316,81,85,5488.13,2,3,4,234,9,Low
13317,200,124,2273.6799999999985,1,4,4,144,9,Low
13318,120,20,640.76,2,2,3,223,7,Middle
13319,19,476,10845.549999999988,4,4,4,444,12,Top
13320,67,104,1515.7000000000003,2,4,3,243,9,Low
13321,74,11,567.36,2,1,2,212,5,Middle
13322,19,25,199.48,4,2,1,421,7,Middle
13323,23,21,787.85,4,2,3,423,9,Low
13324,32,75,7121.949999999994,3,3,4,334,10,Top
13325,83,12,675.3,2,1,3,213,6,Middle
13327,114,108,3627.769999999998,2,4,4,244,10,Top
13328,318,17,1308.48,1,2,3,123,6,Middle
13329,122,17,789.0,2,2,3,223,7,Middle
13330,124,53,1140.9299999999996,2,3,3,233,8,Middle
13332,16,21,350.9,4,2,2,422,8,Middle
13334,84,262,3467.819999999998,2,4,4,244,10,Top
13336,79,51,795.12,2,3,3,233,8,Middle
13338,218,19,487.02,1,2,2,122,5,Middle
13339,202,54,860.1200000000002,1,3,3,133,7,Middle
13340,47,134,10736.47999999999,3,4,4,344,11,Top
13341,262,42,775.8499999999999,1,3,3,133,7,Middle
13343,179,19,353.43,1,2,2,122,5,Middle
13344,161,114,2486.3000000000015,2,4,4,244,10,Top
13345,289,20,389.50000000000006,1,2,2,122,5,Middle
13347,72,8,341.36,2,1,2,212,5,Middle
13348,183,14,233.76,1,1,1,111,3,Low
13349,12,16,247.31999999999996,4,1,1,411,6,Middle
13350,18,40,979.1199999999999,4,2,3,423,9,Low
13351,245,16,373.94,1,1,2,112,4,Low
13352,62,24,397.9800000000001,3,2,2,322,7,Middle
13354,73,51,743.5300000000003,2,3,3,233,8,Middle
13355,94,32,674.7,2,2,3,223,7,Middle
13356,82,42,768.2400000000001,2,3,3,233,8,Middle
13357,259,88,608.85,1,3,2,132,6,Middle
13358,270,29,439.03000000000003,1,2,2,122,5,Middle
13359,154,23,439.55999999999995,2,2,2,222,6,Middle
13362,11,166,3090.7399999999984,4,4,4,444,12,Top
13363,19,60,992.5000000000002,4,3,3,433,10,Top
13364,72,10,134.96,2,1,1,211,4,Low
13365,183,128,2225.3700000000013,1,4,4,144,9,Low
13366,52,1,56.160000000000004,3,1,1,311,5,Middle
13368,193,29,623.4,1,2,2,122,5,Middle
13369,455,14,308.28000000000003,1,1,2,112,4,Low
13370,639,39,754.8700000000003,1,2,3,123,6,Middle
13372,32,23,378.64,3,2,2,322,7,Middle
13373,62,158,3312.2500000000005,3,4,4,344,11,Top
13375,2,37,778.6499999999997,4,2,3,423,9,Low
13376,205,53,1019.7600000000003,1,3,3,133,7,Middle
13379,28,97,572.5599999999997,3,3,2,332,8,Middle
13381,32,172,3639.3100000000004,3,4,4,344,11,Top
13382,252,15,222.99,1,1,1,111,3,Low
13384,47,152,4151.929999999999,3,4,4,344,11,Top
13385,331,35,534.5700000000002,1,2,2,122,5,Middle
13388,133,35,677.1,2,2,3,223,7,Middle
13389,13,51,797.96,4,3,3,433,10,Top
13390,76,13,544.0799999999999,2,1,2,212,5,Middle
13391,205,1,59.8,1,1,1,111,3,Low
13394,34,155,2520.0199999999995,3,4,4,344,11,Top
13395,158,21,307.72,2,2,2,222,6,Middle
13396,61,43,1360.9899999999998,3,3,3,333,9,Low
13397,74,38,1544.1299999999997,2,2,3,223,7,Middle
13398,194,26,457.3400000000001,1,2,2,122,5,Middle
13402,247,39,621.2300000000002,1,2,2,122,5,Middle
13403,19,3,75.0,4,1,1,411,6,Middle
13404,36,11,252.48999999999998,3,1,1,311,5,Middle
13405,76,27,572.4509999999999,2,2,2,222,6,Middle
13408,4,478,28117.039999999983,4,4,4,444,12,Top
13410,26,28,1003.0600000000001,3,2,3,323,8,Middle
13411,109,18,213.55000000000004,2,2,1,221,5,Middle
13414,135,24,1390.5,2,2,3,223,7,Middle
13416,45,19,712.5000000000001,3,2,3,323,8,Middle
13417,207,28,640.83,1,2,3,123,6,Middle
13418,13,304,6127.429999999998,4,4,4,444,12,Top
13419,154,16,221.05999999999995,2,1,1,211,4,Low
13420,151,8,159.85,2,1,1,211,4,Low
13421,42,100,1816.3399999999997,3,4,4,344,11,Top
13422,184,127,2626.3000000000006,1,4,4,144,9,Low
13425,110,78,1624.2099999999998,2,3,4,234,9,Low
13426,12,157,3641.3199999999974,4,4,4,444,12,Top
13427,21,29,582.6,4,2,2,422,8,Middle
13428,12,68,185.08999999999997,4,3,1,431,8,Middle
13429,12,67,1006.8000000000001,4,3,3,433,10,Top
13430,20,49,679.45,4,3,3,433,10,Top
13431,2,46,1269.0999999999995,4,3,3,433,10,Top
13434,76,10,534.24,2,1,2,212,5,Middle
13435,26,101,3809.89,3,4,4,344,11,Top
13436,121,12,196.88999999999996,2,1,1,211,4,Low
13437,16,167,3408.0599999999995,4,4,4,444,12,Top
13439,257,54,283.71,1,3,1,131,5,Middle
13441,93,13,296.64000000000004,2,1,2,212,5,Middle
13447,25,59,1129.14,3,3,3,333,9,Low
13448,18,193,3530.010000000002,4,4,4,444,12,Top
13449,25,19,291.88,3,2,1,321,6,Middle
13450,28,71,2043.7200000000003,3,3,4,334,10,Top
13451,5,423,2820.3699999999985,4,4,4,444,12,Top
13452,261,2,590.0,1,1,2,112,4,Low
13453,167,17,356.98,1,2,2,122,5,Middle
13455,26,46,1058.34,3,3,3,333,9,Low
13456,19,63,1766.7199999999998,4,3,4,434,11,Top
13458,7,382,9646.570000000002,4,4,4,444,12,Top
13460,51,17,183.44,3,2,1,321,6,Middle
13461,140,27,1445.0000000000002,2,2,3,223,7,Middle
13462,341,9,151.5,1,1,1,111,3,Low
13464,1,41,674.6800000000002,4,3,3,433,10,Top
13466,127,17,307.90000000000003,2,2,2,222,6,Middle
13467,12,97,1060.1100000000001,4,3,3,433,10,Top
13468,1,302,5704.970000000001,4,4,4,444,12,Top
13470,117,10,165.0,2,1,1,211,4,Low
13471,23,248,2472.0999999999976,4,4,4,444,12,Top
13473,40,21,422.64,3,2,2,322,7,Middle
13474,238,60,224.08999999999997,1,3,1,131,5,Middle
13475,189,86,1431.7800000000009,1,3,3,133,7,Middle
13476,180,58,1238.4699999999998,1,3,3,133,7,Middle
13477,6,79,1454.579999999999,4,3,3,433,10,Top
13479,202,15,300.95,1,1,2,112,4,Low
13481,47,109,1804.5599999999993,3,4,4,344,11,Top
13482,234,11,184.64,1,1,1,111,3,Low
13483,215,10,140.34000000000003,1,1,1,111,3,Low
13484,7,8,313.79999999999995,4,1,2,412,7,Middle
13485,235,23,454.24,1,2,2,122,5,Middle
13486,80,69,1122.4099999999999,2,3,3,233,8,Middle
13487,59,34,575.4000000000001,3,2,2,322,7,Middle
13488,10,422,8968.309999999996,4,4,4,444,12,Top
13489,107,14,449.52,2,1,2,212,5,Middle
13491,40,86,1215.82,3,3,3,333,9,Low
13494,343,18,316.26,1,2,2,122,5,Middle
13495,234,48,2044.8699999999997,1,3,4,134,8,Middle
13496,12,35,653.3299999999999,4,2,3,423,9,Low
13497,311,19,348.04999999999995,1,2,2,122,5,Middle
13499,19,42,1159.11,4,3,3,433,10,Top
13500,25,65,1166.7700000000002,3,3,3,333,9,Low
13502,18,18,292.0,4,2,1,421,7,Middle
13503,73,17,216.84999999999997,2,2,1,221,5,Middle
13504,184,22,295.93,1,2,2,122,5,Middle
13506,318,26,458.52000000000004,1,2,2,122,5,Middle
13507,109,162,2479.159999999999,2,4,4,244,10,Top
13508,68,12,110.97,2,1,1,211,4,Low
13509,38,44,979.7200000000001,3,3,3,333,9,Low
13510,47,115,1791.5599999999984,3,4,4,344,11,Top
13512,262,15,251.20999999999998,1,1,1,111,3,Low
13513,217,10,205.09999999999997,1,1,1,111,3,Low
13514,75,4,152.20000000000002,2,1,1,211,4,Low
13515,74,59,891.1200000000002,2,3,3,233,8,Middle
13516,23,44,1389.4100000000003,4,3,3,433,10,Top
13517,31,141,2128.42,3,4,4,344,11,Top
13518,87,34,594.88,2,2,2,222,6,Middle
13519,79,8,122.75,2,1,1,211,4,Low
13521,12,402,1051.47,4,4,3,443,11,Top
13522,91,5,125.80000000000001,2,1,1,211,4,Low
13523,48,172,3964.8800000000006,3,4,4,344,11,Top
13524,42,27,680.1800000000001,3,2,3,323,8,Middle
13525,16,6,628.78,4,1,2,412,7,Middle
